time,time_step,population,births,deaths,birth_rate,death_rate,msd,speed_var,food_var,pheromone_var,speed_variance,food_sense_variance,pheromone_sense_variance,reproduction_energy_variance,max_cluster,max_cluster_size,num_clusters,avg_energy,avg_generation,lineage_count
127,127,20,0,0,0.0,0.0,0.137896,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.220592,0.0,20
128,128,20,0,0,0.0,0.0,0.137888,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.213036,0.0,20
129,129,20,0,0,0.0,0.0,0.13786,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.207614,0.0,20
130,130,20,0,0,0.0,0.0,0.13728,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.200055,0.0,20
131,131,20,0,0,0.0,0.0,0.136788,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.194627,0.0,20
132,132,20,0,0,0.0,0.0,0.135917,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.187065,0.0,20
133,133,20,0,0,0.0,0.0,0.134908,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.181633,0.0,20
134,134,20,0,0,0.0,0.0,0.133278,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.174068,0.0,20
135,135,20,0,0,0.0,0.0,0.132125,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.168631,0.0,20
136,136,20,0,0,0.0,0.0,0.130797,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.161064,0.0,20
137,137,20,0,0,0.0,0.0,0.129656,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.155621,0.0,20
138,138,20,0,0,0.0,0.0,0.128241,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.148051,0.0,20
139,139,20,0,0,0.0,0.0,0.127295,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.142603,0.0,20
140,140,20,0,0,0.0,0.0,0.126639,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.13503,0.0,20
141,141,20,0,0,0.0,0.0,0.126053,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.129577,0.0,20
142,142,20,0,0,0.0,0.0,0.125669,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.122002,0.0,20
143,143,20,0,0,0.0,0.0,0.125193,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.116544,0.0,20
144,144,20,0,0,0.0,0.0,0.124661,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.108965,0.0,20
145,145,20,0,0,0.0,0.0,0.123924,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.103501,0.0,20
146,146,20,0,0,0.0,0.0,0.123279,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.095919,0.0,20
147,147,20,0,0,0.0,0.0,0.122123,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.09045,0.0,20
148,148,20,0,0,0.0,0.0,0.12075,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.082867,0.0,20
149,149,20,0,0,0.0,0.0,0.119137,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.077393,0.0,20
